Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Trend,Contribution,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Luxury,Asia,Skincare,Kaybeauty,Bronzer,160268,0.34,0.06,0.07,0.039999999999999994,0.08,0.020000000000000004,0.12000000000000001
Luxury,Africa,Makeup,Kaybeauty,Perfume,114820,0.49,0.16,0.1,0.14,0.18,0.05,0.15000000000000002
Beauty,North America,Makeup,L'Oreal,Perfume,308795,0.11,0.08,0.15,0.06,0.1,0.09999999999999999,0.2
Luxury,Europe,Makeup,Kaybeauty,Shampoo,81551,0.29,0.16,0.22,0.14,0.18,0.16999999999999998,0.27
Beauty,South America,Makeup,MAC,Lipstick,224073,0.22,-0.03,0.22,-0.05,-0.009999999999999998,0.16999999999999998,0.27
Luxury,Asia,Makeup,MAC,Bronzer,422654,0.17,0.05,0.1,0.030000000000000002,0.07,0.05,0.15000000000000002
Personal Care,South America,Makeup,L'Oreal,Lipstick,252283,0.48,0.17,0.2,0.15000000000000002,0.19,0.15000000000000002,0.25
Luxury,Asia,Hair,L'Oreal,Bronzer,270884,0.26,0.02,0.26,0.0,0.04,0.21000000000000002,0.31
Personal Care,North America,Makeup,MAC,Hair Spray,88044,0.42,-0.03,0.3,-0.05,-0.009999999999999998,0.25,0.35
Beauty,Asia,Fragrance,Kaybeauty,Mascara,214231,0.39,0.14,0.07,0.12000000000000001,0.16,0.020000000000000004,0.12000000000000001
Luxury,South America,Hair,Kaybeauty,Hair Spray,80535,0.28,-0.03,0.14,-0.05,-0.009999999999999998,0.09000000000000001,0.19
Personal Care,Africa,Fragrance,L'Oreal,Foundation,251664,0.25,0.19,0.26,0.17,0.21,0.21000000000000002,0.31
Beauty,South America,Fragrance,MAC,Body Lotion,172409,0.28,0.0,0.27,-0.02,0.02,0.22000000000000003,0.32
Beauty,Asia,Skincare,L'Oreal,Conditioner,155878,0.34,0.08,0.1,0.06,0.1,0.05,0.15000000000000002
Beauty,Europe,Fragrance,L'Oreal,Lipstick,421369,0.42,0.11,0.27,0.09,0.13,0.22000000000000003,0.32
Personal Care,Europe,Body,Kaybeauty,Hair Spray,94262,0.46,0.02,0.21,0.0,0.04,0.15999999999999998,0.26
Beauty,Asia,Skincare,MAC,Foundation,71959,0.31,0.07,0.22,0.05,0.09000000000000001,0.16999999999999998,0.27
Personal Care,Asia,Fragrance,L'Oreal,Bronzer,118840,0.26,-0.03,0.11,-0.05,-0.009999999999999998,0.06,0.16
Personal Care,South America,Fragrance,MAC,Conditioner,266688,0.5,0.02,0.29,0.0,0.04,0.24,0.33999999999999997
Personal Care,Africa,Hair,MAC,Foundation,227789,0.16,0.07,0.3,0.05,0.09000000000000001,0.25,0.35
Luxury,Asia,Fragrance,Kaybeauty,Mascara,337486,0.42,0.07,0.3,0.05,0.09000000000000001,0.25,0.35
Personal Care,Europe,Hair,MAC,Perfume,101663,0.12,0.1,0.22,0.08,0.12000000000000001,0.16999999999999998,0.27
Luxury,South America,Fragrance,Kaybeauty,Foundation,192483,0.36,-0.01,0.22,-0.03,0.01,0.16999999999999998,0.27
Luxury,South America,Hair,Kaybeauty,Hair Spray,351528,0.18,0.09,0.22,0.06999999999999999,0.11,0.16999999999999998,0.27
Luxury,Asia,Body,MAC,Shampoo,423616,0.2,-0.03,0.27,-0.05,-0.009999999999999998,0.22000000000000003,0.32
Beauty,Europe,Hair,MAC,Foundation,223714,0.39,0.17,0.27,0.15000000000000002,0.19,0.22000000000000003,0.32
Beauty,Asia,Fragrance,MAC,Bronzer,317683,0.46,0.1,0.05,0.08,0.12000000000000001,0.0,0.1
Personal Care,North America,Fragrance,MAC,Lipstick,228047,0.22,0.07,0.16,0.05,0.09000000000000001,0.11,0.21000000000000002
Beauty,North America,Makeup,MAC,Shampoo,335472,0.3,-0.01,0.14,-0.03,0.01,0.09000000000000001,0.19
Luxury,Europe,Hair,MAC,Foundation,488741,0.21,0.01,0.29,-0.01,0.03,0.24,0.33999999999999997
Beauty,Europe,Fragrance,Kaybeauty,Lipstick,491620,0.3,0.09,0.17,0.06999999999999999,0.11,0.12000000000000001,0.22000000000000003
Beauty,Asia,Skincare,Kaybeauty,Shampoo,152946,0.41,-0.04,0.3,-0.06,-0.02,0.25,0.35
Personal Care,Africa,Skincare,L'Oreal,Foundation,213707,0.11,0.18,0.16,0.16,0.19999999999999998,0.11,0.21000000000000002
Beauty,Europe,Makeup,MAC,Shampoo,115726,0.22,-0.0,0.12,-0.02,0.02,0.06999999999999999,0.16999999999999998
Luxury,South America,Hair,L'Oreal,Perfume,415890,0.33,-0.03,0.2,-0.05,-0.009999999999999998,0.15000000000000002,0.25
Personal Care,South America,Fragrance,L'Oreal,Lipstick,226089,0.4,0.12,0.23,0.09999999999999999,0.13999999999999999,0.18,0.28
Luxury,Africa,Body,Kaybeauty,Body Lotion,285362,0.2,0.1,0.07,0.08,0.12000000000000001,0.020000000000000004,0.12000000000000001
Luxury,North America,Makeup,MAC,Shampoo,314512,0.13,0.05,0.06,0.030000000000000002,0.07,0.009999999999999995,0.11
Luxury,Asia,Body,L'Oreal,Toner,174862,0.11,0.07,0.19,0.05,0.09000000000000001,0.14,0.24
Beauty,South America,Body,L'Oreal,Mascara,120313,0.43,0.04,0.08,0.02,0.06,0.03,0.13
Beauty,Africa,Makeup,MAC,Toner,137235,0.44,-0.0,0.15,-0.02,0.02,0.09999999999999999,0.2
Luxury,Asia,Skincare,L'Oreal,Body Lotion,395757,0.12,0.05,0.16,0.030000000000000002,0.07,0.11,0.21000000000000002
Personal Care,South America,Skincare,L'Oreal,Conditioner,318093,0.43,0.12,0.15,0.09999999999999999,0.13999999999999999,0.09999999999999999,0.2
Personal Care,South America,Hair,Kaybeauty,Lipstick,227247,0.32,0.13,0.22,0.11,0.15,0.16999999999999998,0.27
Beauty,North America,Skincare,Kaybeauty,Conditioner,163429,0.39,-0.04,0.19,-0.06,-0.02,0.14,0.24
Luxury,Africa,Hair,MAC,Conditioner,225150,0.12,0.16,0.23,0.14,0.18,0.18,0.28
Personal Care,South America,Skincare,Kaybeauty,Shampoo,368717,0.27,0.05,0.2,0.030000000000000002,0.07,0.15000000000000002,0.25
Beauty,Asia,Body,Kaybeauty,Body Lotion,73289,0.47,0.08,0.18,0.06,0.1,0.13,0.22999999999999998
Beauty,Asia,Body,MAC,Shampoo,199143,0.37,0.09,0.08,0.06999999999999999,0.11,0.03,0.13
Beauty,Europe,Fragrance,MAC,Foundation,88304,0.36,0.0,0.12,-0.02,0.02,0.06999999999999999,0.16999999999999998
Luxury,South America,Skincare,Kaybeauty,Lipstick,150386,0.23,0.11,0.15,0.09,0.13,0.09999999999999999,0.2
Personal Care,South America,Body,Kaybeauty,Hair Spray,332502,0.15,0.12,0.21,0.09999999999999999,0.13999999999999999,0.15999999999999998,0.26
